<TICKER> <PER> <DATE> <TIME> <CLOSE>
YNDX D 20230322 000000 1887.8000000
YNDX D 20230323 000000 1902.0000000
YNDX D 20230324 000000 1886.4000000
YNDX D 20230327 000000 1919.6000000
YNDX D 20230328 000000 1929.6000000
YNDX D 20230329 000000 1919.6000000
YNDX D 20230330 000000 1917.4000000
YNDX D 20230331 000000 1901.6000000
YNDX D 20230403 000000 1913.0000000
YNDX D 20230404 000000 1905.0000000
YNDX D 20230405 000000 1907.2000000
YNDX D 20230406 000000 1912.8000000
YNDX D 20230407 000000 1919.8000000
YNDX D 20230410 000000 1993.0000000
YNDX D 20230411 000000 1952.2000000
YNDX D 20230412 000000 1953.6000000
YNDX D 20230413 000000 1954.0000000
YNDX D 20230414 000000 1945.0000000
YNDX D 20230417 000000 1964.8000000
YNDX D 20230418 000000 1981.4000000
YNDX D 20230419 000000 1989.6000000
YNDX D 20230420 000000 2098.6000000
YNDX D 20230421 000000 2086.8000000
YNDX D 20230424 000000 2080.0000000
YNDX D 20230425 000000 2059.4000000
YNDX D 20230426 000000 2113.0000000
YNDX D 20230427 000000 2101.6000000
YNDX D 20230428 000000 2070.6000000
YNDX D 20230502 000000 2015.0000000
YNDX D 20230503 000000 1930.4000000
YNDX D 20230504 000000 1979.6000000
YNDX D 20230505 000000 1948.0000000
YNDX D 20230508 000000 1943.0000000
YNDX D 20230510 000000 2008.8000000
YNDX D 20230511 000000 2007.2000000
YNDX D 20230512 000000 2012.0000000
YNDX D 20230515 000000 2049.6000000
YNDX D 20230516 000000 2045.6000000
YNDX D 20230517 000000 2058.0000000
YNDX D 20230518 000000 2032.8000000
YNDX D 20230519 000000 2223.2000000
YNDX D 20230522 000000 2300.0000000
YNDX D 20230523 000000 2242.8000000
YNDX D 20230524 000000 2220.0000000
YNDX D 20230525 000000 2350.0000000
YNDX D 20230526 000000 2322.0000000
YNDX D 20230529 000000 2390.0000000
YNDX D 20230530 000000 2303.6000000
YNDX D 20230531 000000 2324.2000000
YNDX D 20230601 000000 2313.4000000
YNDX D 20230602 000000 2343.6000000
YNDX D 20230605 000000 2305.8000000
YNDX D 20230606 000000 2323.2000000
YNDX D 20230607 000000 2425.4000000
YNDX D 20230608 000000 2520.0000000
YNDX D 20230609 000000 2506.6000000
YNDX D 20230613 000000 2566.8000000
YNDX D 20230614 000000 2620.0000000
YNDX D 20230615 000000 2600.0000000
YNDX D 20230616 000000 2547.0000000
YNDX D 20230619 000000 2510.4000000
YNDX D 20230620 000000 2510.6000000
YNDX D 20230621 000000 2529.6000000
YNDX D 20230622 000000 2492.6000000
YNDX D 20230623 000000 2393.4000000
YNDX D 20230626 000000 2379.0000000
YNDX D 20230627 000000 2431.4000000
YNDX D 20230628 000000 2462.0000000
YNDX D 20230629 000000 2468.6000000
YNDX D 20230630 000000 2439.6000000
YNDX D 20230703 000000 2402.8000000
YNDX D 20230704 000000 2366.0000000
YNDX D 20230705 000000 2403.6000000
YNDX D 20230706 000000 2390.2000000
YNDX D 20230707 000000 2365.6000000
YNDX D 20230710 000000 2407.6000000
YNDX D 20230711 000000 2462.0000000
YNDX D 20230712 000000 2445.0000000
YNDX D 20230713 000000 2464.6000000
YNDX D 20230714 000000 2555.0000000
YNDX D 20230717 000000 2538.4000000
YNDX D 20230718 000000 2590.0000000
YNDX D 20230719 000000 2571.6000000
YNDX D 20230720 000000 2492.2000000
YNDX D 20230721 000000 2532.0000000
YNDX D 20230724 000000 2630.0000000
YNDX D 20230725 000000 2642.6000000
YNDX D 20230726 000000 2655.2000000
YNDX D 20230727 000000 2630.0000000
YNDX D 20230728 000000 2636.0000000
YNDX D 20230731 000000 2635.0000000
YNDX D 20230801 000000 2670.0000000
YNDX D 20230802 000000 2709.4000000
YNDX D 20230803 000000 2780.0000000
YNDX D 20230804 000000 2731.0000000
YNDX D 20230807 000000 2709.0000000
YNDX D 20230808 000000 2728.6000000
YNDX D 20230809 000000 2723.2000000
YNDX D 20230810 000000 2718.0000000
YNDX D 20230811 000000 2704.2000000
YNDX D 20230814 000000 2610.0000000
YNDX D 20230815 000000 2615.8000000
